"order_id","tracking","buyer_country","amazon_ship_option","amazon_carrier_name","bl_package","bl_tracking_status_date","dhl_file_delivery_date","dhl_last_event","dhl_source_file","bl_delivery_package_module","bl_delivery_package_nr","bl_package_tracking","bl_courier_code","bl_courier_other_name","notes"
"304-2959861-1536356","JJD000030206530000003176141","AT","Pri Intl","DHL","Yes","","2026-02-10 09:31:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","30646720248","30646720248","blconnectpackages","gls","BL tracking differs from Amazon"
"302-4924176-2773107","JJD000030206530000003165739","AT","Pri Intl","DHL","Yes","","2026-02-06 10:49:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003165739","JJD000030206530000003165739","blconnectpackages","dhl",""
"306-4289471-8775552","JJD000030206530000003162501","AT","Pri Intl","DHL","Yes","","2026-02-06 12:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003162501","JJD000030206530000003162501","blconnectpackages","dhl",""
"302-5016175-7718765","JJD000030206530000003165239","AT","Pri Intl","DHL","Yes","","2026-02-06 16:37:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003165239","JJD000030206530000003165239","blconnectpackages","dhl",""
"304-8738683-2873916","JJD000030206530000003120358","AT","Pri Intl","DHL","Yes","","2026-01-29 18:00:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003120358","JJD000030206530000003120358","blconnectpackages","dhl",""
"302-7227627-0492311","JJD000030206530000003170005","AT","Pri Intl","DHL","Yes","","2026-02-07 11:34:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003170005","JJD000030206530000003170005","blconnectpackages","dhl",""
"302-9295634-8204317","JJD000030206530000003137491","AT","Pri Intl","DHL","Yes","","2026-02-03 16:22:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003137491","JJD000030206530000003137491","blconnectpackages","dhl",""
"302-7759285-3626743","JJD000030206530000003142510","AT","Pri Intl","DHL","Yes","","2026-02-03 14:52:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003142510","JJD000030206530000003142510","blconnectpackages","dhl",""
"304-4542899-8963502","JJD000030206530000003167657","AT","Pri Intl","DHL","Yes","","2026-02-07 11:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003167657","JJD000030206530000003167657","blconnectpackages","dhl",""
"304-6606741-1778752","JJD000030206530000003158512","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 15:57:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003158512","JJD000030206530000003158512","blconnectpackages","dhl",""
"306-9780567-5753913","JJD000030206530000003153933","AT","Std DE Intl_1","DHL","Yes","","2026-02-04 11:42:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003153933","JJD000030206530000003153933","blconnectpackages","dhl",""
"302-9813520-2588336","JJD000030206530000003157055","AT","Pri Intl","DHL","Yes","","2026-02-05 09:03:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003157055","JJD000030206530000003157055","blconnectpackages","dhl",""
"302-7524228-8205953","JJD000030206530000003134785","AT","Pri Intl","DHL","Yes","","2026-01-30 15:10:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003134785","JJD000030206530000003134785","blconnectpackages","dhl",""
"302-4496496-4855543","JJD000030206530000003133302","AT","Pri Intl","DHL","Yes","","2026-01-30 07:58:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003133302","JJD000030206530000003133302","blconnectpackages","dhl",""
"028-6800296-1673920","JJD000030206530000003128801","AT","Pri Intl","DHL","Yes","","2026-01-29 12:03:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003119660","JJD000030206530000003119660","blconnectpackages","dhl","BL tracking differs from Amazon"
"303-9264389-6972362","JJD000030206530000003152083","AT","Pri Intl","DHL","Yes","","2026-02-05 13:40:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152083","JJD000030206530000003152083","blconnectpackages","dhl",""
"304-9183685-2210704","JJD000030206530000003152881","AT","Std DE Intl_1","DHL","Yes","","2026-02-04 11:13:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152881","JJD000030206530000003152881","blconnectpackages","dhl",""
"304-6022586-3779505","JJD000030206530000003147931","AT","Std DE Intl_1","DHL","Yes","","2026-02-03 11:21:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003147931","JJD000030206530000003147931","blconnectpackages","dhl",""
"303-3867424-0593921","JJD000030206530000003137340","AT","Pri Intl","DHL","Yes","","2026-01-31 10:51:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003137340","JJD000030206530000003137340","blconnectpackages","dhl",""
"306-0908013-5884325","JJD000030206530000003161959","AT","Pri Intl","DHL","Yes","","2026-02-05 12:58:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003161959","JJD000030206530000003161959","blconnectpackages","dhl",""
"028-2656099-1702738","JJD000030206530000003170612","AT","Pri Intl","DHL","Yes","","2026-02-10 10:34:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003170612","JJD000030206530000003170612","blconnectpackages","dhl",""
"302-8592896-5717110","JJD000030206530000003152892","AT","Std DE Intl_1","DHL","Yes","","2026-02-04 10:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152892","JJD000030206530000003152892","blconnectpackages","dhl",""
"304-2668262-0305957","JJD000030206530000003147740","AT","Pri Intl","DHL","Yes","","2026-02-03 12:53:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx","blconnectpackages","JJD000030206530000003147740","JJD000030206530000003147740","blconnectpackages","dhl",""
"305-2928907-4782704","JJD000030206530000003168563","AT","Pri Intl","DHL","Yes","","2026-02-09 12:20:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003168563","JJD000030206530000003168563","blconnectpackages","dhl",""
"028-4405945-6855528","JJD000030206530000003152870","AT","Std DE Intl_1","DHL","Yes","","2026-02-05 10:47:00","DRPDOR","EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx","blconnectpackages","JJD000030206530000003152870","JJD000030206530000003152870","blconnectpackages","dhl",""
