=== GRUPA 1: Brak internal_sku (mają product_id, brak mapowania do ERP) ===
seller_sku;asin;title;marketplace_id;brand;category;k_number;order_lines;total_revenue;currency;first_order;last_order
MAG_5906638374481;B0G52RBR45;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Weiß - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;5;83.70;EUR;2025-12-21 04:29:08+00:00;2026-01-26 12:33:10+00:00
MAG_5906638329375;B0FDBH8WCM;KADAX Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser (Weiß, fi110mm);A1PA6795UKMFR9;;;;5;16.12;EUR;2026-02-08 15:46:03+00:00;2026-02-24 22:09:52+00:00
MAG_5906638374252;B0G522Q2JN;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz Gepunktet - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;5;95.56;EUR;2025-12-12 14:54:18+00:00;2026-01-22 02:38:18+00:00
MAG_5906638374238;B0G522TCJJ;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Grün - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;4;95.44;EUR;2025-12-07 18:29:30+00:00;2025-12-21 12:16:41+00:00
MAG_5906638374368;B0G522FTN8;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Rot - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;4;47.85;EUR;2025-12-10 18:28:05+00:00;2025-12-14 07:38:55+00:00
MAG_5906638328491;B0FD9S51SV;KADAX fi38mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Gold;A1PA6795UKMFR9;;;;4;8.64;EUR;2026-01-01 13:23:29+00:00;2026-01-19 15:42:51+00:00
MAG_5906638374306;B0G524ZHVV;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Hähne - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;4;95.70;EUR;2025-12-14 19:24:34+00:00;2026-02-15 09:17:36+00:00
MAG_5906638374214;B0G524ST1N;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Silber - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;;4;47.85;EUR;2025-12-09 14:18:20+00:00;2026-01-28 08:55:24+00:00
MAG_5906638374511;B0G52ST9KX;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Hellgrün - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;;4;52.28;EUR;2026-02-27 11:04:46+00:00;2026-02-28 20:00:44+00:00
MAG_5906638309131;B0DK1C448B;KADAX Râteau en métal, râteau à copeaux longs, large râteau à tête renforcée, râteau de jardin à long manche en bois, outil de jardin robuste, râteau à gazon (32 dents, bleu);A1PA6795UKMFR9;;;;4;139.80;EUR;2026-01-14 16:47:56+00:00;2026-03-01 18:14:54+00:00
