order_id,tracking,buyer_country,bl_package,bl_tracking_status_date,dhl_file_delivery_date,bl_delivery_package_module,bl_delivery_package_nr,bl_package_tracking,bl_courier_code,bl_courier_other_name,dhl_source_file,dhl_last_event,dhl_last_event_at,amazon_ship_option,amazon_carrier_name,amazon_delivery_scan_attempt,amazon_any_physical_scan,order_status,fulfillment_channel,purchase_date,notes
302-5016175-7718765,JJD000030206530000003165239,AT,Yes,,2026-02-06 16:37:00,blconnectpackages,JJD000030206530000003165239,JJD000030206530000003165239,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-06 16:37:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-03 11:34:49,
303-8241956-0901154,JJD000030206530000003109940,AT,Yes,,,blconnectpackages,JJD000030206530000003109940,JJD000030206530000003109940,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-21 06:53:37,
304-8627464-9473153,JJD000030206530000003157522,AT,No,,2026-02-05 12:43:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-05 12:43:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-02-01 17:23:47,BL has no package
028-0982928-5728336,JJD000030206530000003125404,AT,Yes,2026-01-25 14:06:12,2026-01-29 12:23:00,blconnectpackages,JJD000030206530000003125404,JJD000030206530000003125404,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 12:23:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 12:14:27,
305-5209565-6151547,JJD000030206530000003161886,AT,No,,2026-02-09 12:53:00,,,,,,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-09 12:53:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-02 14:45:23,BL has no package
303-5462801-0489928,JJD000030206530000003108001,AT,Yes,,,blconnectpackages,JJD000030206530000003108001,JJD000030206530000003108001,blconnectpackages,dhl,,,,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-20 08:09:08,
304-8738683-2873916,JJD000030206530000003120358,AT,Yes,,2026-01-29 18:00:00,blconnectpackages,JJD000030206530000003120358,JJD000030206530000003120358,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 18:00:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 07:08:34,
305-0030046-5306777,JJD000030206530000003135848,AT,No,,2026-01-30 13:36:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-30 13:36:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-27 15:18:17,BL has no package
028-9160418-0036328,JJD000030206530000003183548,DE,Yes,,,blconnectpackages,JJD000030206530000003183548,JJD000030206530000003183548,blconnectpackages,dhl,,,,Pri Dom,DHL,No,Yes,Shipped,MFN,2026-02-07 22:25:51,
028-0645204-7891519,JJD000030206530000003142021,AT,No,,2026-02-03 08:54:00,,,,,,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 08:54:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-29 07:48:38,BL has no package
302-7227627-0492311,JJD000030206530000003170005,AT,Yes,,2026-02-07 11:34:00,blconnectpackages,JJD000030206530000003170005,JJD000030206530000003170005,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_08.02.2026 17.02.xlsx,DRPDOR,2026-02-07 11:34:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-02-04 12:53:03,
028-6213773-4732359,JJD000030206530000003122170,AT,Yes,2026-01-24 20:51:53,2026-01-29 10:00:00,blconnectpackages,JJD000030206530000003122170,JJD000030206530000003122170,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 10:00:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-24 14:29:06,
028-1734235-6054723,JJD000030206530000003129059,AT,Yes,2026-01-26 10:06:34,2026-01-29 09:31:00,blconnectpackages,JJD000030206530000003129059,JJD000030206530000003129059,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 09:31:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-26 08:21:47,
305-8784588-3453950,JJD000030206530000003091732,AT,No,,2026-01-20 12:19:00,,,,,,EX_DHL_2446860_NET FOX_JJD_18.01.2026 31.01.xlsx,DRPDOR,2026-01-20 12:19:00,Std DE Intl_1,DHL,No,Yes,Shipped,MFN,2026-01-16 10:55:02,BL has no package
028-7890147-1610735,JJD000030206530000003125000,AT,Yes,2026-01-25 13:06:16,2026-01-29 10:55:00,blconnectpackages,JJD000030206530000003125000,JJD000030206530000003125000,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-01-29 10:55:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-25 11:20:35,
302-9295634-8204317,JJD000030206530000003137491,AT,Yes,,2026-02-03 16:22:00,blconnectpackages,JJD000030206530000003137491,JJD000030206530000003137491,blconnectpackages,dhl,EX_DHL_2446860_NET FOX_JJD_01.02.2026 14.02.xlsx,DRPDOR,2026-02-03 16:22:00,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-27 21:25:56,
304-7544720-2631568,JJD000030206530000003117922,AT,Yes,,,blconnectpackages,JJD000030206530000003117922,JJD000030206530000003117922,blconnectpackages,dhl,,,,Pri Intl,DHL,No,Yes,Shipped,MFN,2026-01-23 10:46:32,
